Step,Value
0,1.0
1,1.0
2,1.0
3,0.0
4,2.0
5,1.0
6,0.0
7,0.0
8,1.0
9,2.0
10,2.0
11,3.0
12,2.0
13,4.0
14,1.0
15,0.0
16,0.0
17,0.0
18,2.0
19,0.0
20,0.0
21,1.0
22,1.0
23,1.0
24,4.0
25,2.0
26,0.0
27,2.0
28,1.0
29,3.0
30,1.0
31,0.0
32,6.0
33,2.0
34,2.0
35,3.0
36,1.0
37,0.0
38,0.0
39,0.0
40,0.0
41,3.0
42,1.0
43,1.0
44,3.0
45,0.0
46,0.0
47,0.0
48,1.0
49,3.0
50,1.0
51,0.0
52,1.0
53,0.0
54,0.0
55,0.0
56,0.0
57,1.0
58,1.0
59,0.0
60,0.0
61,0.0
62,1.0
63,0.0
64,1.0
65,0.0
66,0.0
67,0.0
68,0.0
69,3.0
70,0.0
71,2.0
72,1.0
73,0.0
74,3.0
75,0.0
76,1.0
77,0.0
78,1.0
79,0.0
80,1.0
81,0.0
82,0.0
83,0.0
84,0.0
85,2.0
86,6.0
87,2.0
88,1.0
89,2.0
90,2.0
91,3.0
92,0.0
93,4.0
94,2.0
95,2.0
96,0.0
97,2.0
98,1.0
99,1.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,1.0
107,0.0
108,0.0
109,0.0
110,0.0
111,1.0
112,0.0
113,3.0
114,0.0
115,4.0
116,0.0
117,0.0
118,0.0
119,0.0
120,1.0
121,0.0
122,1.0
123,0.0
124,2.0
125,0.0
126,3.0
127,3.0
128,3.0
129,3.0
130,0.0
131,0.0
132,0.0
133,0.0
134,2.0
135,0.0
136,0.0
137,0.0
138,1.0
139,1.0
140,0.0
141,0.0
142,1.0
143,0.0
144,0.0
145,1.0
146,0.0
147,0.0
148,0.0
149,1.0
150,0.0
151,0.0
152,0.0
153,1.0
154,0.0
155,4.0
156,1.0
157,1.0
158,1.0
159,0.0
160,1.0
161,1.0
162,0.0
163,1.0
164,0.0
165,1.0
166,1.0
167,0.0
168,1.0
169,3.0
170,0.0
171,0.0
172,1.0
173,0.0
174,1.0
175,0.0
176,0.0
177,1.0
178,0.0
179,0.0
180,0.0
181,1.0
182,0.0
183,1.0
184,1.0
185,2.0
186,0.0
187,1.0
188,0.0
189,0.0
190,0.0
191,0.0
192,1.0
193,1.0
194,4.0
195,1.0
196,1.0
197,0.0
198,0.0
199,0.0
200,1.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,1.0
