Step,Value
0,0.0
1,1.0
2,3.0
3,1.0
4,1.0
5,3.0
6,0.0
7,3.0
8,0.0
9,0.0
10,0.0
11,0.0
12,1.0
13,2.0
14,0.0
15,1.0
16,1.0
17,1.0
18,0.0
19,0.0
20,0.0
21,1.0
22,2.0
23,1.0
24,1.0
25,1.0
26,0.0
27,1.0
28,1.0
29,1.0
30,2.0
31,0.0
32,1.0
33,2.0
34,0.0
35,1.0
36,2.0
37,1.0
38,0.0
39,1.0
40,2.0
41,0.0
42,0.0
43,1.0
44,1.0
45,0.0
46,0.0
47,2.0
48,1.0
49,1.0
50,1.0
51,1.0
52,0.0
53,0.0
54,0.0
55,1.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,1.0
68,0.0
69,1.0
70,1.0
71,3.0
72,2.0
73,3.0
74,3.0
75,1.0
76,0.0
77,1.0
78,2.0
79,1.0
80,0.0
81,1.0
82,0.0
83,1.0
84,1.0
85,1.0
86,0.0
87,1.0
88,2.0
89,2.0
90,1.0
91,4.0
92,0.0
93,2.0
94,2.0
95,4.0
96,2.0
97,2.0
98,3.0
99,1.0
100,0.0
101,0.0
102,0.0
103,0.0
104,3.0
105,0.0
106,2.0
107,0.0
108,0.0
109,0.0
110,2.0
111,1.0
112,0.0
113,1.0
114,1.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,2.0
121,1.0
122,0.0
123,0.0
124,0.0
125,1.0
126,1.0
127,1.0
128,1.0
129,3.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,1.0
139,1.0
140,0.0
141,1.0
142,0.0
143,2.0
144,1.0
145,0.0
146,0.0
147,2.0
148,1.0
149,0.0
150,1.0
151,1.0
152,0.0
153,1.0
154,0.0
155,0.0
156,1.0
157,1.0
158,1.0
159,3.0
160,1.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,2.0
168,0.0
169,0.0
170,0.0
171,0.0
172,2.0
173,1.0
174,2.0
175,3.0
176,0.0
177,1.0
178,1.0
179,0.0
180,0.0
181,0.0
182,1.0
183,1.0
184,0.0
185,0.0
186,1.0
187,0.0
188,0.0
189,2.0
190,0.0
191,0.0
192,0.0
193,3.0
194,1.0
195,0.0
196,0.0
197,3.0
198,3.0
199,0.0
200,0.0
201,1.0
202,0.0
203,1.0
204,4.0
205,0.0
206,0.0
207,0.0
208,0.0
209,1.0
210,0.0
211,1.0
212,0.0
213,2.0
214,1.0
215,1.0
216,0.0
217,1.0
218,2.0
219,3.0
220,2.0
221,0.0
222,1.0
223,1.0
224,0.0
225,1.0
226,0.0
227,0.0
228,0.0
229,1.0
230,0.0
231,0.0
232,0.0
233,0.0
234,1.0
235,3.0
236,0.0
237,2.0
238,0.0
239,3.0
240,1.0
241,2.0
242,5.0
243,1.0
244,2.0
245,3.0
246,5.0
247,2.0
248,1.0
249,1.0
250,3.0
251,3.0
252,2.0
253,0.0
254,0.0
255,1.0
256,2.0
257,0.0
258,2.0
259,3.0
260,0.0
261,2.0
262,0.0
263,1.0
264,1.0
265,0.0
266,1.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,1.0
275,0.0
276,1.0
277,0.0
278,0.0
279,1.0
280,2.0
281,2.0
282,0.0
283,1.0
284,0.0
285,2.0
286,0.0
287,0.0
288,0.0
289,0.0
290,1.0
291,1.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,1.0
298,1.0
299,1.0
300,2.0
301,2.0
302,2.0
303,2.0
304,6.0
305,1.0
306,0.0
307,0.0
308,4.0
309,0.0
310,2.0
311,0.0
312,0.0
313,4.0
314,2.0
315,1.0
316,0.0
317,2.0
318,1.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,1.0
327,1.0
328,1.0
329,0.0
330,0.0
331,0.0
332,0.0
333,1.0
334,0.0
335,0.0
336,0.0
337,1.0
338,4.0
339,1.0
340,2.0
341,2.0
342,1.0
343,2.0
344,0.0
345,2.0
346,0.0
347,1.0
348,0.0
349,1.0
350,0.0
351,2.0
352,1.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,2.0
360,0.0
361,0.0
362,4.0
363,1.0
364,2.0
365,0.0
366,3.0
367,1.0
368,4.0
369,1.0
370,0.0
371,1.0
372,0.0
373,2.0
374,0.0
375,0.0
376,0.0
377,0.0
378,4.0
379,0.0
380,0.0
381,1.0
382,1.0
383,2.0
384,4.0
385,2.0
386,0.0
387,0.0
388,2.0
389,3.0
390,0.0
391,0.0
392,0.0
393,2.0
394,0.0
395,0.0
396,2.0
397,1.0
398,1.0
399,2.0
400,1.0
401,0.0
402,1.0
403,1.0
404,2.0
405,0.0
406,1.0
407,0.0
408,0.0
409,0.0
410,0.0
411,2.0
412,2.0
413,2.0
414,0.0
415,0.0
416,0.0
417,0.0
418,2.0
419,1.0
420,0.0
421,2.0
422,0.0
423,1.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,1.0
432,1.0
433,2.0
434,1.0
435,1.0
436,1.0
437,0.0
438,0.0
439,1.0
440,0.0
441,3.0
442,4.0
443,6.0
444,3.0
445,2.0
446,2.0
447,1.0
448,0.0
449,1.0
450,0.0
451,0.0
452,1.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,1.0
459,0.0
460,1.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,1.0
468,0.0
469,0.0
470,0.0
471,0.0
472,2.0
473,1.0
474,0.0
475,0.0
476,1.0
477,0.0
478,2.0
479,0.0
480,0.0
481,1.0
482,2.0
483,0.0
484,1.0
485,0.0
486,0.0
487,1.0
488,2.0
489,0.0
490,0.0
491,4.0
492,2.0
493,0.0
494,1.0
495,0.0
496,2.0
497,1.0
498,3.0
499,0.0
500,0.0
501,1.0
502,1.0
503,0.0
504,1.0
505,1.0
506,2.0
507,2.0
508,1.0
509,1.0
510,2.0
511,0.0
512,0.0
513,0.0
514,1.0
515,0.0
516,0.0
517,1.0
518,1.0
519,2.0
520,2.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,1.0
527,1.0
528,0.0
529,1.0
530,0.0
531,1.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,1.0
539,1.0
540,0.0
541,1.0
542,0.0
543,2.0
544,0.0
545,0.0
546,0.0
547,2.0
548,0.0
549,0.0
550,1.0
551,0.0
552,0.0
553,1.0
554,1.0
555,0.0
556,0.0
557,0.0
558,0.0
559,2.0
560,0.0
561,0.0
562,0.0
563,1.0
564,1.0
565,2.0
566,2.0
567,1.0
568,0.0
569,2.0
570,0.0
571,0.0
572,0.0
573,1.0
574,0.0
575,2.0
576,1.0
577,0.0
578,0.0
579,1.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,3.0
590,1.0
591,1.0
592,1.0
593,1.0
594,1.0
595,1.0
596,1.0
597,0.0
598,1.0
599,2.0
600,3.0
601,1.0
602,0.0
603,0.0
604,1.0
605,0.0
606,1.0
607,0.0
608,0.0
609,0.0
610,1.0
611,2.0
612,2.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,1.0
620,0.0
621,2.0
622,2.0
623,1.0
624,0.0
625,1.0
626,0.0
627,1.0
628,1.0
629,0.0
630,0.0
631,0.0
632,1.0
633,0.0
634,1.0
635,2.0
636,0.0
637,1.0
638,0.0
639,0.0
