Step,Value
0,-36.888614654541016
1,-48.0
2,-34.962493896484375
3,-47.20331954956055
4,-59.80137634277344
5,-33.31808853149414
6,-32.272823333740234
7,-0.37598317861557007
8,-24.226476669311523
9,-36.98226547241211
10,-32.0
11,-22.86545753479004
12,-33.48124694824219
13,-34.570526123046875
14,-36.086509704589844
15,-32.83684158325195
16,-28.570526123046875
17,-14.847723007202148
18,-7.057894706726074
19,-13.291461944580078
20,-36.0
21,-41.0
22,-47.48124694824219
23,-48.48124694824219
24,-46.0
25,-41.38420867919922
26,-44.83684158325195
27,-49.0
28,-42.83684158325195
29,-52.98226547241211
30,-49.0
31,-39.38963317871094
32,-7.221052646636963
33,-30.481246948242188
34,-54.552791595458984
35,-45.0
36,-45.38420867919922
37,-39.83684158325195
38,-52.944759368896484
39,-48.48124694824219
40,-48.30035400390625
41,-37.204402923583984
42,-45.0
43,-49.93700408935547
44,-37.22105407714844
45,-40.83684158325195
46,-52.98226547241211
47,-46.20331954956055
48,-50.77384567260742
49,-47.570526123046875
50,-42.05177307128906
51,-48.53302001953125
52,-34.83684158325195
53,-34.05177307128906
54,-42.62229919433594
55,-39.83684158325195
56,-43.83684158325195
57,-43.83684158325195
58,-36.48124694824219
59,-37.24420928955078
60,-47.03403854370117
61,-45.570526123046875
62,-34.962493896484375
63,-56.98226547241211
64,-44.0
65,-44.570526123046875
66,-41.865455627441406
67,-41.865455627441406
68,-52.98226547241211
69,-54.552791595458984
70,-41.673683166503906
71,-42.3289680480957
72,-22.781600952148438
73,-39.77927017211914
74,-28.154930114746094
75,-45.4635124206543
76,-36.48124694824219
77,-47.98226547241211
78,-42.888614654541016
79,-39.83684158325195
80,-43.48124694824219
81,-35.48124694824219
82,-53.03403854370117
83,-46.98226547241211
84,-48.0
85,-38.0
86,-38.05789566040039
87,-36.03403854370117
88,-15.384210586547852
89,-40.552791595458984
90,-4.865457057952881
91,-18.0
92,-40.0
93,-24.43598175048828
94,-42.954734802246094
95,-46.0
96,-42.0
97,-45.570526123046875
98,-46.570526123046875
99,-42.0
100,-46.0
101,-41.0
102,-30.570526123046875
103,-28.98226547241211
104,-42.4635124206543
105,-47.0
106,-49.570526123046875
107,-48.9778938293457
108,-48.0
109,-46.0
110,-42.0
111,-47.0
112,-60.12331771850586
113,-47.0
114,-46.0
115,-49.98226547241211
116,-40.0
117,-51.81910705566406
118,-45.30035400390625
119,-43.82794952392578
120,-48.48124694824219
121,-38.0
122,-43.38420867919922
123,-48.0
124,-45.40736770629883
125,-40.673683166503906
126,-48.0
127,-44.954734802246094
128,-40.22105407714844
129,-54.98226547241211
130,-40.0
131,-36.24966812133789
132,-19.463512420654297
133,-15.10966682434082
134,-36.4635124206543
135,-51.3487434387207
136,-35.570526123046875
137,-32.0
138,-22.38421058654785
139,-44.870880126953125
140,-39.7684211730957
141,-41.52526092529297
142,-35.0
143,-32.280582427978516
144,-40.0
145,-35.962493896484375
146,-43.98226547241211
147,-39.81910705566406
148,-13.673684120178223
149,-11.407367706298828
150,-44.0
151,-32.83684158325195
152,-35.48124694824219
153,-53.4635124206543
154,-39.38420867919922
155,-55.366477966308594
156,-41.79157638549805
157,-32.05789566040039
158,-34.98226547241211
159,-33.570526123046875
160,-6.175788879394531
161,-11.909472465515137
162,-38.81910705566406
163,-37.48124694824219
164,-47.14105224609375
165,-47.0
166,-40.48124694824219
167,-39.865455627441406
168,-40.83684158325195
169,-40.22105407714844
170,-45.83684158325195
171,-47.0
172,-43.962493896484375
173,-52.552791595458984
174,-37.83684158325195
175,-39.962493896484375
176,-40.39072036743164
177,-41.570526123046875
178,-44.38420867919922
179,-58.98226547241211
180,-47.48124694824219
181,-56.552791595458984
182,-43.0
183,-53.4635124206543
184,-47.0
185,-41.83684158325195
186,-51.35212707519531
187,-48.570526123046875
188,-38.0
189,-51.570526123046875
190,-44.0
191,-56.552791595458984
192,-44.954734802246094
193,-45.0
194,-45.0
195,-54.98226547241211
196,-37.22105407714844
197,-47.48124694824219
198,-41.38420867919922
199,-44.570526123046875
200,-42.0
201,-41.0
202,-46.75068664550781
203,-22.86545753479004
204,-41.0
205,-47.93700408935547
206,-57.80137634277344
207,-38.38420867919922
208,-46.83684158325195
209,-45.48124694824219
210,-44.38420867919922
211,-44.570526123046875
212,-46.31808853149414
213,-42.0
214,-49.366477966308594
215,-50.711578369140625
216,-41.38420867919922
217,-58.12331771850586
218,-56.366477966308594
219,-42.962493896484375
220,-42.48124694824219
221,-33.70229721069336
222,-15.0
223,-15.0
224,-4.3698601722717285
225,-26.344369888305664
226,-34.74176025390625
227,-20.683317184448242
228,-10.79157829284668
229,-17.870880126953125
230,-23.0401611328125
231,-30.481246948242188
232,-39.870880126953125
233,-35.03403854370117
234,-36.0
235,-27.203319549560547
236,-31.344369888305664
237,-15.917228698730469
238,-33.570526123046875
239,-61.96453094482422
240,-37.48124694824219
241,-45.05177307128906
242,-45.0
243,-35.38420867919922
244,-50.552791595458984
245,-52.4635124206543
246,-53.98226547241211
247,-43.0
248,-38.31808853149414
249,-39.53302001953125
250,-50.0
