================================================================================
CPC TRAINING RESULTS - 2000 EPOCHS
================================================================================
Generated: 2026-01-20 15:52:04
Model Type: ppo_lstm_cpc
Epochs: 2000
CPC Start Epoch: 10
CPC Memory Bank Size: 5
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      CPC Loss        Reward       Mem Bank  
--------------------------------------------------------------------------------
0        682.013596      0.000000        151.00       0/5       
1        305.731415      0.000000        92.00        0/5       
2        532.423111      0.000000        129.00       0/5       
3        224.412239      0.000000        96.00        0/5       
4        142.894619      0.000000        69.00        0/5       
5        541.732071      0.000000        135.00       0/5       
6        379.350021      0.000000        109.00       0/5       
7        39.687211       0.000000        37.00        0/5       
8        28.963122       0.000000        44.00        0/5       
9        253.986362      0.000000        114.00       0/5       
10       65.533726       0.000000        46.00        0/5       
11       533.336273      20.978386       134.00       1/5       
12       125.295155      35.526451       73.00        2/5       
13       102.448919      43.051113       46.00        3/5       
14       55.319331       45.156994       54.00        4/5       
15       55.801106       45.456326       51.00        5/5       
16       108.190128      42.894890       66.00        5/5       
17       189.289734      46.760006       52.00        5/5       
18       647.557236      43.014027       155.00       5/5       
19       75.605129       42.248966       55.00        5/5       
20       157.642265      40.879910       55.00        5/5       
21       49.650301       37.871574       26.00        5/5       
22       156.331345      34.881947       61.00        5/5       
23       77.237448       32.063305       22.00        5/5       
24       69.082475       32.325310       -6.00        5/5       
25       93.038366       32.185745       -8.00        5/5       
26       103.966022      35.009029       46.00        5/5       
27       191.695847      35.891365       73.00        5/5       
28       28.234615       37.814934       30.00        5/5       
29       391.445381      35.604649       116.00       5/5       
30       100.243717      33.088173       66.00        5/5       
31       109.046129      30.243877       12.00        5/5       
32       156.991249      28.164894       74.00        5/5       
33       77.065113       25.387169       -11.00       5/5       
34       436.978493      24.695560       138.00       5/5       
35       75.018818       25.284912       32.00        5/5       
36       36.250293       27.476351       39.00        5/5       
37       104.425564      29.906687       69.00        5/5       
38       72.321466       27.193586       27.00        5/5       
39       58.184100       28.026247       41.00        5/5       
40       153.414200      29.667633       90.00        5/5       
41       193.058708      29.920700       97.00        5/5       
42       188.285965      28.864683       95.00        5/5       
43       178.713322      27.149311       84.00        5/5       
44       124.182034      27.380339       86.00        5/5       
45       60.694699       26.621389       24.00        5/5       
46       60.950408       22.157991       30.00        5/5       
47       20.247845       19.459461       33.00        5/5       
48       156.188118      19.868427       78.00        5/5       
49       209.359581      19.099207       89.00        5/5       
50       386.252945      17.835194       117.00       5/5       
51       37.137289       21.264917       45.00        5/5       
52       418.683380      20.663357       135.00       5/5       
53       281.561165      22.241554       131.00       5/5       
54       257.040688      21.765623       104.00       5/5       
55       144.033241      22.303848       99.00        5/5       
56       222.915798      21.650301       72.00        5/5       
57       56.526577       25.110441       60.00        5/5       
58       315.066734      23.895470       107.00       5/5       
59       188.155910      24.642086       74.00        5/5       
60       207.665779      23.779243       80.00        5/5       
61       28.503930       21.949745       37.00        5/5       
62       384.088791      20.533316       146.00       5/5       
63       98.182199       18.287123       69.00        5/5       
64       53.786002       18.632326       37.00        5/5       
65       129.643164      20.350342       105.00       5/5       
66       57.719951       20.525660       19.00        5/5       
67       85.499884       21.232929       79.00        5/5       
68       491.640053      20.740005       145.00       5/5       
69       269.730415      18.452095       116.00       5/5       
70       280.540047      16.935223       128.00       5/5       
71       51.727948       13.270303       71.00        5/5       
72       71.454563       12.305176       77.00        5/5       
73       59.259459       12.053590       54.00        5/5       
74       351.557793      13.527894       122.00       5/5       
75       632.311386      13.519781       157.00       5/5       
76       122.463860      14.537669       83.00        5/5       
77       64.312325       15.175771       48.00        5/5       
78       149.345844      15.727331       76.00        5/5       
79       130.395126      16.029078       32.00        5/5       
80       109.178890      20.949923       13.00        5/5       
81       72.942965       21.100054       23.00        5/5       
82       69.951355       21.670893       49.00        5/5       
83       42.708346       23.058067       24.00        5/5       
84       50.874354       21.417955       60.00        5/5       
85       113.092855      19.476646       26.00        5/5       
86       76.984716       15.515337       47.00        5/5       
87       171.894859      15.106752       74.00        5/5       
88       116.112160      15.356165       47.00        5/5       
89       56.724467       16.313950       68.00        5/5       
90       458.406876      18.233240       140.00       5/5       
91       372.873299      19.124611       116.00       5/5       
92       112.021198      19.406937       83.00        5/5       
93       82.094328       18.544643       64.00        5/5       
94       655.702866      17.295790       162.00       5/5       
95       178.516823      17.126144       77.00        5/5       
96       707.468353      16.359131       160.00       5/5       
97       77.541510       15.326769       62.00        5/5       
98       633.138992      17.630280       177.00       5/5       
99       312.126930      17.097393       123.00       5/5       
100      117.139528      17.658499       81.00        5/5       
101      48.698360       15.964059       57.00        5/5       
102      128.015631      15.455202       74.00        5/5       
103      108.728651      15.960657       18.00        5/5       
104      216.280071      20.199636       23.00        5/5       
105      128.274538      20.812185       56.00        5/5       
106      54.910219       20.257557       14.00        5/5       
107      149.328789      21.136078       -8.00        5/5       
108      121.681530      21.097948       31.00        5/5       
109      51.328798       19.747093       18.00        5/5       
110      58.817323       17.057377       38.00        5/5       
111      176.718758      17.764877       13.00        5/5       
112      69.646441       19.976782       7.00         5/5       
113      137.622051      19.317865       10.00        5/5       
114      99.633142       21.702686       52.00        5/5       
115      129.129692      30.620586       3.00         5/5       
116      94.529552       31.113680       45.00        5/5       
117      102.269569      31.440977       32.00        5/5       
118      42.616698       31.097208       66.00        5/5       
119      74.429321       30.087585       57.00        5/5       
120      109.496742      27.166142       54.00        5/5       
121      173.082863      24.366589       1.00         5/5       
122      116.121086      22.827654       49.00        5/5       
123      87.612024       19.527874       42.00        5/5       
124      171.782684      16.775248       81.00        5/5       
125      74.782940       16.414383       51.00        5/5       
126      70.947956       16.674536       50.00        5/5       
127      176.312878      16.573036       105.00       5/5       
128      125.612131      16.297161       -18.00       5/5       
129      31.944321       15.260598       30.00        5/5       
130      112.805933      13.885903       31.00        5/5       
131      245.626995      13.640778       112.00       5/5       
132      87.057930       12.321844       15.00        5/5       
133      83.904472       11.603352       24.00        5/5       
134      86.592943       11.869082       42.00        5/5       
135      91.849161       12.217930       16.00        5/5       
136      32.147412       12.283505       55.00        5/5       
137      258.905327      12.594501       86.00        5/5       
138      148.251888      14.771053       80.00        5/5       
139      193.676346      15.398544       88.00        5/5       
140      309.631409      16.885204       98.00        5/5       
141      161.181732      16.638004       81.00        5/5       
142      45.825899       16.234577       63.00        5/5       
143      133.156162      14.966451       88.00        5/5       
144      325.174957      11.968742       105.00       5/5       
145      98.672918       11.223793       89.00        5/5       
146      100.641895      11.529188       85.00        5/5       
147      174.307621      11.684344       95.00        5/5       
148      203.395832      11.192739       87.00        5/5       
149      111.976475      12.285775       60.00        5/5       
150      84.459364       13.031775       24.00        5/5       
151      266.281364      13.875411       84.00        5/5       
152      675.465363      14.722075       166.00       5/5       
153      251.574795      15.804442       131.00       5/5       
154      462.024849      15.694830       154.00       5/5       
155      126.817684      14.430786       79.00        5/5       
156      204.545311      15.643743       91.00        5/5       
157      241.705029      14.909925       119.00       5/5       
158      124.738489      14.017302       66.00        5/5       
159      325.145973      15.676737       126.00       5/5       
160      273.322754      18.424946       118.00       5/5       
161      236.513378      18.054794       85.00        5/5       
162      276.276291      18.705080       128.00       5/5       
163      99.190899       19.094963       57.00        5/5       
164      141.878986      18.959476       48.00        5/5       
165      133.074261      18.938450       81.00        5/5       
166      370.129204      16.988449       121.00       5/5       
167      183.848961      19.905106       101.00       5/5       
168      441.608406      20.260036       137.00       5/5       
169      122.977713      29.281557       47.00        5/5       
170      92.517872       29.295122       71.00        5/5       
171      316.303558      28.143986       135.00       5/5       
172      473.409508      25.576502       136.00       5/5       
173      79.988958       22.868521       87.00        5/5       
174      193.052128      18.589979       102.00       5/5       
175      144.919506      16.992481       73.00        5/5       
176      254.913799      16.904528       64.00        5/5       
177      331.589081      14.631131       143.00       5/5       
178      174.018932      15.510932       50.00        5/5       
179      197.141975      15.491012       104.00       5/5       
180      70.761232       17.070990       57.00        5/5       
181      389.264984      15.449893       159.00       5/5       
182      202.123367      16.331644       135.00       5/5       
183      101.707914      16.649752       53.00        5/5       
184      256.492172      15.673622       109.00       5/5       
185      128.238462      15.051045       98.00        5/5       
186      344.444801      13.093967       133.00       5/5       
187      790.545303      14.322231       191.00       5/5       
188      173.975342      14.378360       41.00        5/5       
189      191.805161      15.842485       74.00        5/5       
190      179.197002      16.005924       99.00        5/5       
191      409.996368      16.574076       101.00       5/5       
192      200.979023      15.468766       -4.00        5/5       
193      87.577101       14.654858       47.00        5/5       
194      188.708797      14.538863       69.00        5/5       
195      242.446285      12.186522       -17.00       5/5       
196      223.224941      11.518961       55.00        5/5       
197      242.966034      11.938946       -12.00       5/5       
198      93.615732       12.180360       43.00        5/5       
199      234.703083      10.681916       10.00        5/5       
200      132.980450      8.910590        -1.00        5/5       
201      99.104647       13.862469       26.00        5/5       
202      189.424770      14.563216       58.00        5/5       
203      76.265757       16.133419       19.00        5/5       
204      178.829571      15.991192       11.00        5/5       
205      176.808941      19.632755       74.00        5/5       
206      130.826769      20.192884       20.00        5/5       
207      206.012367      23.199286       42.00        5/5       
208      166.076717      20.515465       18.00        5/5       
209      69.002939       17.476324       57.00        5/5       
210      142.632244      16.192215       35.00        5/5       
211      144.365101      16.672054       99.00        5/5       
212      85.704121       17.126740       64.00        5/5       
213      102.481575      14.911834       42.00        5/5       
214      76.100195       14.568121       42.00        5/5       
215      127.894960      16.554617       69.00        5/5       
216      99.795086       16.747362       18.00        5/5       
217      183.060131      15.916215       -13.00       5/5       
218      206.588905      13.675035       -21.00       5/5       
219      236.364082      14.380531       -33.00       5/5       
220      317.027954      15.603581       -51.00       5/5       
221      268.852669      13.920362       -40.00       5/5       
222      256.553680      12.760644       -47.00       5/5       
223      233.706795      13.704414       -43.00       5/5       
224      155.179867      13.984554       -18.00       5/5       
225      195.409206      12.131938       -30.00       5/5       
226      311.514908      10.321870       -58.00       5/5       
227      272.363586      11.564162       -28.00       5/5       
228      173.278885      14.733744       -32.00       5/5       
229      292.226173      16.435102       -52.00       5/5       
230      235.527012      19.444170       -40.00       5/5       
231      217.025826      21.048382       -42.00       5/5       
232      284.704231      22.438009       -55.00       5/5       
233      171.062962      19.120167       -21.00       5/5       
234      148.297215      18.399246       -22.00       5/5       
235      128.422230      17.348007       -20.00       5/5       
236      267.140633      17.971598       -56.00       5/5       
237      212.534328      17.183939       -46.00       5/5       
238      171.913830      18.506710       -34.00       5/5       
239      196.103115      16.218683       -36.00       5/5       
240      267.646866      14.237275       -53.00       5/5       
241      93.370356       23.105030       -9.00        5/5       
242      78.495386       19.939434       6.00         5/5       
243      172.969219      17.942781       -39.00       5/5       
244      140.443424      17.997694       -27.00       5/5       
245      166.271969      17.365753       -28.00       5/5       
246      153.156147      17.175928       -24.00       5/5       
247      67.106175       10.514640       11.00        5/5       
248      187.814533      11.026666       -29.00       5/5       
249      111.865919      14.162210       -17.00       5/5       
250      171.927834      16.148928       -19.00       5/5       
251      78.704359       19.269255       -12.00       5/5       
252      126.743813      20.264406       -28.00       5/5       
253      145.684052      20.836060       -25.00       5/5       
254      64.591380       19.988869       -1.00        5/5       
255      153.531849      18.387863       -37.00       5/5       
256      141.957882      15.683381       -39.00       5/5       
257      129.975235      14.519769       -36.00       5/5       
258      37.234883       13.889871       11.00        5/5       
259      130.979073      18.260004       -26.00       5/5       
260      81.684038       18.520777       -18.00       5/5       
261      125.748444      19.833946       38.00        5/5       
262      50.872312       21.887362       11.00        5/5       
263      81.885166       23.325146       -16.00       5/5       
264      68.168647       24.858662       50.00        5/5       
265      59.826249       24.758497       38.00        5/5       
266      62.183564       26.064701       56.00        5/5       
267      172.864662      19.046621       81.00        5/5       
268      495.945084      18.785563       142.00       5/5       
269      49.514463       16.867546       39.00        5/5       
