================================================================================
IQN TRAINING RESULTS - 20000 EPOCHS
================================================================================
Generated: 2026-01-20 17:30:33
Model Type: iqn
Epochs: 20000
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      Reward      
--------------------------------------------------------------------------------
0        0.000000        -56.00      
1        0.288004        -46.00      
2        0.199745        -60.00      
3        0.190501        -60.00      
4        0.183841        -60.00      
5        0.187428        -52.00      
6        0.248148        -58.00      
7        0.145637        -53.00      
8        0.104515        -54.00      
9        0.107165        -55.00      
10       0.105609        -60.00      
11       0.088789        -38.00      
12       0.063854        -52.00      
13       0.069654        -52.00      
14       0.054891        -53.00      
15       0.054828        -52.00      
16       0.055339        -53.00      
17       0.044209        -58.00      
18       0.122541        -52.00      
19       0.034673        -54.00      
20       0.034298        -59.00      
21       0.038010        -37.00      
22       0.036348        -50.00      
23       0.031504        -29.00      
24       0.115382        -45.00      
25       0.026271        -29.00      
26       0.029375        -49.00      
27       0.025194        4.00        
28       0.037772        -52.00      
29       0.050283        -22.00      
30       0.031777        0.00        
31       0.035223        -19.00      
32       0.040375        -53.00      
33       0.049234        -11.00      
34       0.034485        -50.00      
35       0.043087        -2.00       
36       0.044726        -50.00      
37       0.035940        -3.00       
38       0.119343        -46.00      
39       0.123490        1.00        
40       0.046664        1.00        
41       0.106778        6.00        
42       0.031745        19.00       
43       0.036822        10.00       
44       0.036694        8.00        
45       0.232097        9.00        
46       0.089712        9.00        
47       0.024012        0.00        
48       0.014068        0.00        
49       0.087451        30.00       
50       0.207027        20.00       
51       0.154477        19.00       
52       0.216916        -12.00      
53       0.145317        40.00       
54       0.180658        -4.00       
55       0.190986        30.00       
56       0.017342        10.00       
57       0.085248        20.00       
58       0.154763        26.00       
59       0.178130        10.00       
60       0.112403        -1.00       
61       0.336725        20.00       
62       0.166052        10.00       
63       0.182731        0.00        
64       0.137712        19.00       
65       0.205003        0.00        
66       0.079231        10.00       
67       0.232801        0.00        
68       0.153754        30.00       
69       0.061049        10.00       
70       0.179162        60.00       
71       0.063981        10.00       
72       0.227042        0.00        
73       0.142636        10.00       
74       0.166287        20.00       
75       0.208487        10.00       
76       0.087356        20.00       
77       0.146169        20.00       
78       0.287461        40.00       
79       0.131510        10.00       
80       0.155229        40.00       
81       0.155143        30.00       
82       0.080020        30.00       
83       0.146478        10.00       
84       0.159241        30.00       
85       0.243893        30.00       
86       0.144565        20.00       
87       0.151629        40.00       
88       0.078807        40.00       
89       0.239617        20.00       
90       0.091539        30.00       
91       0.252879        20.00       
92       0.470412        70.00       
93       0.408361        40.00       
94       0.155944        40.00       
95       0.245809        10.00       
96       0.181656        10.00       
97       0.225401        50.00       
98       0.181404        10.00       
99       0.068271        29.00       
100      0.282177        10.00       
101      0.218230        30.00       
102      0.292553        20.00       
103      0.234525        40.00       
104      0.372641        40.00       
105      0.059052        50.00       
106      0.144216        40.00       
107      0.231954        20.00       
108      0.087787        50.00       
109      0.068915        30.00       
110      0.248926        30.00       
111      0.493782        30.00       
112      0.004657        70.00       
113      0.328696        30.00       
114      0.346031        40.00       
115      0.144398        40.00       
