================================================================================
PPO_LSTM TRAINING RESULTS - 40000 EPOCHS
================================================================================
Generated: 2026-01-20 17:32:38
Model Type: ppo_lstm
Epochs: 40000
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      Reward      
--------------------------------------------------------------------------------
0        26.464231       26.00       
1        6.103798        10.00       
2        16.539020       5.00        
3        37.350391       28.00       
4        11.301636       -3.00       
5        22.663483       -19.00      
6        14.552030       3.00        
7        13.882849       3.00        
8        161.473106      65.00       
9        23.962913       20.00       
10       11.316801       13.00       
11       40.855532       -27.00      
12       11.429970       5.00        
13       33.328285       30.00       
14       8.461853        20.00       
15       155.548176      75.00       
16       35.938830       36.00       
17       9.113378        14.00       
18       29.372863       17.00       
19       6.902740        22.00       
20       21.198547       9.00        
21       30.277600       5.00        
22       70.941082       -30.00      
23       69.320135       -30.00      
24       78.852131       -40.00      
25       47.054623       -30.00      
26       36.636772       -26.00      
27       19.982749       -15.00      
28       14.838094       -16.00      
29       16.352270       -12.00      
30       14.738555       -1.00       
31       9.148178        -4.00       
32       22.426095       14.00       
33       12.549941       -17.00      
34       78.366764       38.00       
35       31.421083       21.00       
36       69.640217       42.00       
37       102.000582      53.00       
38       8.697885        -7.00       
39       17.630298       20.00       
40       122.676979      64.00       
41       143.984241      54.00       
42       11.871746       21.00       
43       28.849514       27.00       
44       10.278336       11.00       
45       49.468493       37.00       
46       18.848972       6.00        
47       9.903906        3.00        
48       38.673369       -21.00      
49       22.430556       -6.00       
50       21.996843       11.00       
51       7.394450        7.00        
52       42.710384       12.00       
53       7.515867        9.00        
54       15.042496       -12.00      
55       16.716047       -13.00      
56       13.208652       12.00       
57       67.246441       29.00       
58       17.339591       -12.00      
59       9.522071        4.00        
60       28.803386       38.00       
61       6.345284        -1.00       
62       26.098896       31.00       
63       15.341238       27.00       
64       10.327373       2.00        
65       18.991545       29.00       
66       9.072867        9.00        
67       3.476022        4.00        
68       14.154469       -12.00      
69       7.967392        6.00        
70       111.294279      57.00       
71       54.428785       34.00       
72       68.051832       46.00       
73       128.495890      63.00       
74       117.438868      67.00       
75       14.508878       12.00       
76       10.810259       3.00        
77       10.776904       -9.00       
78       14.168586       10.00       
79       7.213051        12.00       
80       39.577554       28.00       
81       36.833674       36.00       
82       39.538321       39.00       
83       25.311794       35.00       
84       17.792557       -1.00       
85       14.384797       -1.00       
86       36.457129       32.00       
87       8.893447        10.00       
88       20.008142       26.00       
89       15.020810       23.00       
90       6.797052        20.00       
91       113.237778      66.00       
92       61.634946       48.00       
93       20.580752       19.00       
94       94.183741       68.00       
95       40.543154       36.00       
96       101.951954      48.00       
97       118.343967      60.00       
98       18.567901       -1.00       
99       28.314354       34.00       
100      31.721813       28.00       
101      46.246636       -8.00       
102      46.047458       2.00        
103      16.050796       4.00        
104      13.380974       22.00       
105      42.591352       -20.00      
106      26.838534       26.00       
107      16.345149       16.00       
108      13.652647       27.00       
109      46.589941       37.00       
110      36.215137       35.00       
111      25.067567       21.00       
112      31.607996       -5.00       
113      24.834127       35.00       
114      40.439538       -9.00       
115      24.006938       7.00        
116      52.092137       54.00       
117      15.763043       3.00        
118      15.242756       -1.00       
119      24.031864       -7.00       
120      30.189582       30.00       
121      48.684464       37.00       
122      6.619706        17.00       
123      23.640496       27.00       
124      27.189404       28.00       
125      34.052143       31.00       
126      25.609458       -4.00       
127      22.366776       13.00       
128      32.149302       -13.00      
129      14.761026       -1.00       
130      11.487103       19.00       
131      12.595268       4.00        
132      15.572609       -4.00       
133      9.213749        5.00        
134      6.554169        7.00        
135      44.759300       25.00       
136      5.311276        7.00        
137      12.300758       11.00       
138      80.836996       47.00       
139      50.115936       44.00       
140      53.329622       49.00       
141      9.188008        14.00       
142      8.854434        0.00        
143      20.407845       -2.00       
144      27.347991       28.00       
145      8.649298        15.00       
146      9.992263        -1.00       
147      24.099096       -6.00       
148      6.983527        7.00        
149      16.092741       -10.00      
150      18.987570       3.00        
151      22.882034       33.00       
152      38.695412       33.00       
153      70.683662       43.00       
154      4.069613        16.00       
155      22.942444       13.00       
156      29.951974       33.00       
157      18.181751       23.00       
158      13.877903       14.00       
159      31.909643       4.00        
160      46.456013       15.00       
161      28.234233       -15.00      
162      36.572300       44.00       
163      14.799890       -4.00       
164      36.496133       15.00       
165      193.220589      63.00       
166      10.205827       0.00        
167      30.031176       30.00       
