================================================================================
CPC TRAINING RESULTS - 500 EPOCHS, CPC START AT EPOCH 10
================================================================================
Generated: 2026-01-20 14:52:23
Epochs: 500
CPC Start Epoch: 10
CPC Memory Bank Size: 4
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      CPC Loss        Reward       Mem Bank  
--------------------------------------------------------------------------------
0        366.109390      0.000000        1627.00      0/4       
1        780.899536      0.000000        3520.00      0/4       
2        416.360352      0.000000        2399.00      0/4       
3        952.794708      0.000000        2792.00      0/4       
4        319.478645      0.000000        2382.00      0/4       
5        88.959908       0.000000        1272.00      0/4       
6        364.502724      0.000000        3577.00      0/4       
7        343.755791      0.000000        3612.00      0/4       
8        154.236633      0.000000        1526.00      0/4       
9        90.316071       0.000000        1907.00      0/4       
10       145.644955      0.000000        2354.00      0/4       
11       366.194199      35.380836       3347.00      1/4       
12       354.984497      38.205894       3114.00      2/4       
13       176.491474      39.353340       2929.00      3/4       
14       97.361652       39.696064       1399.00      4/4       
15       104.813185      41.545155       893.00       4/4       
16       177.554256      48.427223       1310.00      4/4       
17       407.137291      47.425213       4017.00      4/4       
18       212.836868      42.753887       4043.00      4/4       
19       179.939728      40.460651       2521.00      4/4       
20       60.074804       37.837414       1439.00      4/4       
21       63.380497       37.052765       660.00       4/4       
22       63.915358       37.983810       1498.00      4/4       
23       89.451406       36.255543       1829.00      4/4       
24       275.932800      35.400291       2185.00      4/4       
25       61.766331       35.394157       337.00       4/4       
26       330.491760      28.241409       3176.00      4/4       
27       322.271965      25.765892       2926.00      4/4       
28       136.316597      24.485378       2473.00      4/4       
29       115.976501      23.290003       1754.00      4/4       
30       143.730690      25.146448       2388.00      4/4       
31       385.341957      27.143471       2651.00      4/4       
32       192.254040      25.629566       2453.00      4/4       
33       256.700535      25.592863       2213.00      4/4       
34       192.512791      27.787374       2750.00      4/4       
35       346.393456      23.315575       1608.00      4/4       
36       60.407178       22.457222       1002.00      4/4       
37       102.235113      25.686953       1648.00      4/4       
38       416.540512      25.371437       1890.00      4/4       
39       301.734581      23.740788       1924.00      4/4       
40       49.317400       22.428852       569.00       4/4       
41       49.651679       21.331911       1662.00      4/4       
42       699.475571      19.911037       4380.00      4/4       
43       461.845711      21.883808       3339.00      4/4       
44       153.430260      22.265717       2013.00      4/4       
45       159.639919      20.628117       2579.00      4/4       
46       171.556702      20.184784       2454.00      4/4       
47       139.837265      19.411297       2096.00      4/4       
48       153.353008      17.485344       1825.00      4/4       
49       206.051121      16.591190       2068.00      4/4       
50       357.034019      17.128380       1674.00      4/4       
51       499.714714      16.640528       3959.00      4/4       
52       325.992836      17.780849       3681.00      4/4       
53       448.999954      18.198656       4070.00      4/4       
54       282.219902      15.680248       1913.00      4/4       
55       225.814903      15.013538       2926.00      4/4       
56       146.908466      16.221144       1430.00      4/4       
57       161.496407      13.524555       2525.00      4/4       
58       236.884159      13.744155       2472.00      4/4       
59       110.494513      13.698119       1711.00      4/4       
60       292.469406      14.428574       3722.00      4/4       
61       177.521687      13.744778       146.00       4/4       
62       192.463051      13.574162       1985.00      4/4       
63       297.911346      12.598967       1871.00      4/4       
64       250.872906      12.774401       3320.00      4/4       
65       66.782896       11.077975       1408.00      4/4       
66       64.690141       11.229634       1686.00      4/4       
67       82.308195       10.411705       1399.00      4/4       
68       37.398997       14.265008       1450.00      4/4       
69       123.820312      15.638299       981.00       4/4       
70       119.927980      16.601667       529.00       4/4       
71       132.295832      18.847803       1057.00      4/4       
72       92.579758       19.864040       951.00       4/4       
73       115.624493      15.159504       340.00       4/4       
74       202.876690      14.686238       2049.00      4/4       
75       117.663578      14.763438       436.00       4/4       
76       105.512295      14.901873       896.00       4/4       
77       176.491695      14.914062       2613.00      4/4       
78       111.144329      16.496069       1933.00      4/4       
79       121.727707      21.614021       2071.00      4/4       
80       80.488611       22.065966       1743.00      4/4       
81       120.733465      24.180336       2404.00      4/4       
82       159.677425      24.616947       2297.00      4/4       
83       99.189882       23.386183       1142.00      4/4       
84       344.456055      17.133743       4120.00      4/4       
85       57.451098       20.711353       1885.00      4/4       
