================================================================================
CPC TRAINING RESULTS - 1000 EPOCHS
================================================================================
Generated: 2026-01-20 16:33:31
Model Type: ppo_lstm_cpc
Epochs: 1000
CPC Start Epoch: 10
CPC Memory Bank Size: 1000
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      CPC Loss        Reward       Mem Bank  
--------------------------------------------------------------------------------
0        0.000000        0.000000        105.00       0/1000    
1        0.000000        0.000000        64.00        0/1000    
2        0.000000        0.000000        46.00        0/1000    
3        0.000000        0.000000        39.00        0/1000    
4        0.000000        0.000000        76.00        0/1000    
5        0.000000        0.000000        62.00        0/1000    
6        0.000000        0.000000        6.00         0/1000    
7        0.000000        0.000000        30.00        0/1000    
8        0.000000        0.000000        76.00        0/1000    
9        0.000000        0.000000        83.00        0/1000    
10       0.000000        0.000000        76.00        0/1000    
11       0.000000        0.000000        39.00        0/1000    
12       0.000000        0.000000        30.00        0/1000    
13       0.000000        0.000000        73.00        0/1000    
14       0.000000        0.000000        72.00        0/1000    
15       0.000000        0.000000        46.00        0/1000    
16       0.000000        0.000000        82.00        0/1000    
17       0.000000        0.000000        116.00       0/1000    
18       0.000000        0.000000        105.00       0/1000    
19       0.000000        0.000000        42.00        0/1000    
20       0.000000        0.000000        56.00        0/1000    
21       0.000000        0.000000        117.00       0/1000    
22       0.000000        0.000000        49.00        0/1000    
23       0.000000        0.000000        13.00        0/1000    
24       0.000000        0.000000        75.00        0/1000    
25       0.000000        0.000000        63.00        0/1000    
26       0.000000        0.000000        24.00        0/1000    
27       0.000000        0.000000        82.00        0/1000    
28       0.000000        0.000000        44.00        0/1000    
29       0.000000        0.000000        53.00        0/1000    
30       0.000000        0.000000        43.00        0/1000    
31       0.000000        0.000000        85.00        0/1000    
32       0.000000        0.000000        55.00        0/1000    
33       0.000000        0.000000        14.00        0/1000    
34       0.000000        0.000000        135.00       0/1000    
35       0.000000        0.000000        75.00        0/1000    
36       0.000000        0.000000        61.00        0/1000    
37       0.000000        0.000000        102.00       0/1000    
38       0.000000        0.000000        58.00        0/1000    
39       0.000000        0.000000        56.00        0/1000    
40       0.000000        0.000000        85.00        0/1000    
41       0.000000        0.000000        -1.00        0/1000    
42       0.000000        0.000000        53.00        0/1000    
43       0.000000        0.000000        7.00         0/1000    
44       0.000000        0.000000        72.00        0/1000    
45       0.000000        0.000000        57.00        0/1000    
46       0.000000        0.000000        53.00        0/1000    
47       0.000000        0.000000        87.00        0/1000    
48       0.000000        0.000000        59.00        0/1000    
49       0.000000        0.000000        106.00       0/1000    
50       0.000000        0.000000        75.00        0/1000    
51       0.000000        0.000000        109.00       0/1000    
52       0.000000        0.000000        81.00        0/1000    
53       0.000000        0.000000        26.00        0/1000    
54       0.000000        0.000000        0.00         0/1000    
55       0.000000        0.000000        27.00        0/1000    
56       0.000000        0.000000        64.00        0/1000    
57       0.000000        0.000000        63.00        0/1000    
58       0.000000        0.000000        77.00        0/1000    
59       0.000000        0.000000        87.00        0/1000    
60       0.000000        0.000000        125.00       0/1000    
61       0.000000        0.000000        13.00        0/1000    
62       0.000000        0.000000        58.00        0/1000    
63       0.000000        0.000000        79.00        0/1000    
64       0.000000        0.000000        54.00        0/1000    
65       0.000000        0.000000        72.00        0/1000    
66       0.000000        0.000000        55.00        0/1000    
67       0.000000        0.000000        52.00        0/1000    
68       0.000000        0.000000        48.00        0/1000    
69       0.000000        0.000000        89.00        0/1000    
70       0.000000        0.000000        33.00        0/1000    
71       0.000000        0.000000        58.00        0/1000    
72       0.000000        0.000000        95.00        0/1000    
73       0.000000        0.000000        107.00       0/1000    
74       0.000000        0.000000        84.00        0/1000    
75       0.000000        0.000000        37.00        0/1000    
76       0.000000        0.000000        18.00        0/1000    
77       0.000000        0.000000        84.00        0/1000    
78       0.000000        0.000000        59.00        0/1000    
79       0.000000        0.000000        74.00        0/1000    
80       0.000000        0.000000        74.00        0/1000    
81       0.000000        0.000000        39.00        0/1000    
82       0.000000        0.000000        54.00        0/1000    
83       0.000000        0.000000        12.00        0/1000    
84       0.000000        0.000000        38.00        0/1000    
85       0.000000        0.000000        21.00        0/1000    
86       0.000000        0.000000        101.00       0/1000    
87       0.000000        0.000000        94.00        0/1000    
88       0.000000        0.000000        63.00        0/1000    
89       0.000000        0.000000        150.00       0/1000    
90       0.000000        0.000000        77.00        0/1000    
91       0.000000        0.000000        73.00        0/1000    
92       0.000000        0.000000        31.00        0/1000    
93       0.000000        0.000000        78.00        0/1000    
94       0.000000        0.000000        31.00        0/1000    
95       0.000000        0.000000        59.00        0/1000    
96       0.000000        0.000000        52.00        0/1000    
97       0.000000        0.000000        10.00        0/1000    
98       0.000000        0.000000        84.00        0/1000    
99       0.000000        0.000000        59.00        0/1000    
100      0.000000        0.000000        60.00        0/1000    
101      0.000000        0.000000        35.00        0/1000    
102      0.000000        0.000000        28.00        0/1000    
103      0.000000        0.000000        78.00        0/1000    
104      0.000000        0.000000        49.00        0/1000    
105      0.000000        0.000000        52.00        0/1000    
106      0.000000        0.000000        77.00        0/1000    
107      0.000000        0.000000        59.00        0/1000    
108      0.000000        0.000000        18.00        0/1000    
109      0.000000        0.000000        140.00       0/1000    
110      0.000000        0.000000        39.00        0/1000    
111      0.000000        0.000000        71.00        0/1000    
112      0.000000        0.000000        32.00        0/1000    
113      0.000000        0.000000        10.00        0/1000    
114      0.000000        0.000000        31.00        0/1000    
115      0.000000        0.000000        83.00        0/1000    
116      0.000000        0.000000        30.00        0/1000    
117      0.000000        0.000000        35.00        0/1000    
118      0.000000        0.000000        54.00        0/1000    
119      0.000000        0.000000        64.00        0/1000    
120      0.000000        0.000000        57.00        0/1000    
121      0.000000        0.000000        57.00        0/1000    
122      0.000000        0.000000        115.00       0/1000    
123      0.000000        0.000000        31.00        0/1000    
124      0.000000        0.000000        109.00       0/1000    
125      0.000000        0.000000        105.00       0/1000    
126      0.000000        0.000000        38.00        0/1000    
127      0.000000        0.000000        30.00        0/1000    
128      0.000000        0.000000        48.00        0/1000    
129      0.000000        0.000000        60.00        0/1000    
130      0.000000        0.000000        93.00        0/1000    
131      0.000000        0.000000        76.00        0/1000    
132      0.000000        0.000000        43.00        0/1000    
133      0.000000        0.000000        93.00        0/1000    
134      0.000000        0.000000        78.00        0/1000    
135      0.000000        0.000000        76.00        0/1000    
136      0.000000        0.000000        84.00        0/1000    
137      0.000000        0.000000        36.00        0/1000    
138      0.000000        0.000000        53.00        0/1000    
139      0.000000        0.000000        55.00        0/1000    
140      0.000000        0.000000        54.00        0/1000    
141      0.000000        0.000000        58.00        0/1000    
142      0.000000        0.000000        89.00        0/1000    
143      0.000000        0.000000        70.00        0/1000    
144      0.000000        0.000000        86.00        0/1000    
145      0.000000        0.000000        123.00       0/1000    
146      0.000000        0.000000        65.00        0/1000    
147      0.000000        0.000000        93.00        0/1000    
148      0.000000        0.000000        65.00        0/1000    
149      0.000000        0.000000        77.00        0/1000    
150      0.000000        0.000000        58.00        0/1000    
151      0.000000        0.000000        72.00        0/1000    
152      0.000000        0.000000        82.00        0/1000    
153      0.000000        0.000000        50.00        0/1000    
154      0.000000        0.000000        87.00        0/1000    
155      0.000000        0.000000        139.00       0/1000    
156      0.000000        0.000000        79.00        0/1000    
157      0.000000        0.000000        16.00        0/1000    
158      0.000000        0.000000        49.00        0/1000    
159      0.000000        0.000000        90.00        0/1000    
160      0.000000        0.000000        42.00        0/1000    
161      0.000000        0.000000        3.00         0/1000    
162      0.000000        0.000000        53.00        0/1000    
163      0.000000        0.000000        3.00         0/1000    
164      0.000000        0.000000        61.00        0/1000    
165      0.000000        0.000000        17.00        0/1000    
166      0.000000        0.000000        8.00         0/1000    
167      0.000000        0.000000        82.00        0/1000    
168      0.000000        0.000000        101.00       0/1000    
169      0.000000        0.000000        68.00        0/1000    
170      0.000000        0.000000        41.00        0/1000    
171      0.000000        0.000000        9.00         0/1000    
172      0.000000        0.000000        47.00        0/1000    
173      0.000000        0.000000        75.00        0/1000    
174      0.000000        0.000000        55.00        0/1000    
175      0.000000        0.000000        28.00        0/1000    
176      0.000000        0.000000        79.00        0/1000    
177      0.000000        0.000000        57.00        0/1000    
178      0.000000        0.000000        62.00        0/1000    
179      0.000000        0.000000        113.00       0/1000    
180      0.000000        0.000000        52.00        0/1000    
181      0.000000        0.000000        35.00        0/1000    
